Plot	Plot_bexis	Function_Name	Function_Year	Value	Year	Dataset_ID	Dataset_Version
SEW40	SEW40	aboveground_biomass	aboveground_biomass	248.6449234	4444	4444	4444
SEW20	SEW20	aboveground_biomass	aboveground_biomass	153.5164785	4444	4444	4444
AEW09	AEW9	aboveground_biomass	aboveground_biomass	325.2020254	4444	4444	4444
AEW16	AEW16	aboveground_biomass	aboveground_biomass	109.7049642	4444	4444	4444
AEW19	AEW19	aboveground_biomass	aboveground_biomass	267.5148723	4444	4444	4444
SEW26	SEW26	aboveground_biomass	aboveground_biomass	308.5154441	4444	4444	4444
HEW19	HEW19	aboveground_biomass	aboveground_biomass	355.0475143	4444	4444	4444
SEW15	SEW15	aboveground_biomass	aboveground_biomass	200.4081274	4444	4444	4444
AEW28	AEW28	aboveground_biomass	aboveground_biomass	243.4931703	4444	4444	4444
AEW48	AEW48	aboveground_biomass	aboveground_biomass	278.3109921	4444	4444	4444
AEW14	AEW14	aboveground_biomass	aboveground_biomass	309.9352667	4444	4444	4444
HEW38	HEW38	aboveground_biomass	aboveground_biomass	399.3914611	4444	4444	4444
AEW17	AEW17	aboveground_biomass	aboveground_biomass	222.6372062	4444	4444	4444
AEW34	AEW34	aboveground_biomass	aboveground_biomass	228.6424396	4444	4444	4444
HEW07	HEW7	aboveground_biomass	aboveground_biomass	325.474592	4444	4444	4444
SEW23	SEW23	aboveground_biomass	aboveground_biomass	296.4726543	4444	4444	4444
AEW33	AEW33	aboveground_biomass	aboveground_biomass	203.5539267	4444	4444	4444
SEW06	SEW6	aboveground_biomass	aboveground_biomass	189.6297291	4444	4444	4444
SEW30	SEW30	aboveground_biomass	aboveground_biomass	240.560331	4444	4444	4444
HEW43	HEW43	aboveground_biomass	aboveground_biomass	57.3253033	4444	4444	4444
SEW33	SEW33	aboveground_biomass	aboveground_biomass	270.3685472	4444	4444	4444
AEW45	AEW45	aboveground_biomass	aboveground_biomass	91.51531096	4444	4444	4444
HEW25	HEW25	aboveground_biomass	aboveground_biomass	244.9561465	4444	4444	4444
SEW01	SEW1	aboveground_biomass	aboveground_biomass	162.5169174	4444	4444	4444
SEW35	SEW35	aboveground_biomass	aboveground_biomass	248.3286493	4444	4444	4444
HEW01	HEW1	aboveground_biomass	aboveground_biomass	372.0967021	4444	4444	4444
HEW41	HEW41	aboveground_biomass	aboveground_biomass	378.7276428	4444	4444	4444
HEW11	HEW11	aboveground_biomass	aboveground_biomass	406.7634545	4444	4444	4444
AEW30	AEW30	aboveground_biomass	aboveground_biomass	225.4024448	4444	4444	4444
HEW40	HEW40	aboveground_biomass	aboveground_biomass	402.5991817	4444	4444	4444
HEW10	HEW10	aboveground_biomass	aboveground_biomass	359.0006815	4444	4444	4444
HEW20	HEW20	aboveground_biomass	aboveground_biomass	405.4799706	4444	4444	4444
AEW29	AEW29	aboveground_biomass	aboveground_biomass	249.8609714	4444	4444	4444
SEW21	SEW21	aboveground_biomass	aboveground_biomass	226.3950227	4444	4444	4444
AEW15	AEW15	aboveground_biomass	aboveground_biomass	56.97824013	4444	4444	4444
HEW39	HEW39	aboveground_biomass	aboveground_biomass	396.9326635	4444	4444	4444
AEW18	AEW18	aboveground_biomass	aboveground_biomass	295.2752319	4444	4444	4444
SEW07	SEW7	aboveground_biomass	aboveground_biomass	491.049331	4444	4444	4444
SEW28	SEW28	aboveground_biomass	aboveground_biomass	270.8509442	4444	4444	4444
AEW31	AEW31	aboveground_biomass	aboveground_biomass	236.1144787	4444	4444	4444
HEW21	HEW21	aboveground_biomass	aboveground_biomass	385.7730162	4444	4444	4444
AEW35	AEW35	aboveground_biomass	aboveground_biomass	49.80662193	4444	4444	4444
HEW14	HEW14	aboveground_biomass	aboveground_biomass	77.54784248	4444	4444	4444
HEW44	HEW44	aboveground_biomass	aboveground_biomass	57.32761617	4444	4444	4444
SEW34	SEW34	aboveground_biomass	aboveground_biomass	215.9553603	4444	4444	4444
SEW31	SEW31	aboveground_biomass	aboveground_biomass	226.5360855	4444	4444	4444
SEW32	SEW32	aboveground_biomass	aboveground_biomass	136.8071848	4444	4444	4444
AEW21	AEW21	aboveground_biomass	aboveground_biomass	252.6737448	4444	4444	4444
